donor,day,condition,exp,age_gain,identity_cost,safety_risk,safety_pos_count,case
O2,17,failed_intermediate,exp2,5.8325788851607925,1.4969494757415174,14.88991308212279,5,case_2.identity_or_safety_break
O2,17,failed_to_reprogram,exp2,9.202928816050061,0.7700754888617565,9.01267266273498,5,case_2.identity_or_safety_break
O2,17,transient_intermediate,exp2,51.16912102501063,2.7597510601608115,13.68205308914184,5,case_2.identity_or_safety_break
O3,10,failed_intermediate,exp2,0.3681823248934464,1.4760626705866813,12.0342819690704,3,case_2.identity_or_safety_break
O3,10,failed_to_reprogram,exp2,-1.3065661731166145,0.3744449030018465,7.55718183517456,5,case_0.no_age_gain
O3,10,transient_intermediate,exp2,23.092184169714834,2.2417526163505777,11.31406235694885,5,case_2.identity_or_safety_break
O3,10,transiently_reprogrammed,exp2,4.130083164035,1.2852155675959942,10.30055189132691,5,case_2.identity_or_safety_break
O3,13,failed_to_reprogram,exp1,0.48872366725873206,0.3784372121864406,7.998627300000001,2,case_2.identity_or_safety_break
O3,13,transiently_reprogrammed,exp1,32.47122953057844,1.111569917601167,7.863685,2,case_2.identity_or_safety_break
O3,13,failed_intermediate,exp2,3.8733894638705237,1.709027833933674,12.36422550678256,3,case_2.identity_or_safety_break
O3,13,failed_to_reprogram,exp2,-0.39968652542094674,0.4776520702811875,8.02531051635742,5,case_0.no_age_gain
O3,13,transient_intermediate,exp2,20.607412080849404,1.9445182071021456,11.171829342842098,5,case_2.identity_or_safety_break
O3,13,transiently_reprogrammed,exp2,13.130896781311655,1.9522081287387691,9.11566734313965,5,case_2.identity_or_safety_break
O3,15,failed_to_reprogram,exp1,2.8368560936466523,0.4342915913843579,7.1430506,5,case_2.identity_or_safety_break
O3,15,transiently_reprogrammed,exp1,8.661396659479621,1.154684916980733,8.252341,2,case_2.identity_or_safety_break
O3,15,failed_intermediate,exp2,3.530656628771048,1.6706281143741297,14.11982488632199,5,case_2.identity_or_safety_break
O3,15,failed_to_reprogram,exp2,-1.2924549894889878,0.35545263459018955,8.86951780319213,2,case_0.no_age_gain
O3,15,transient_intermediate,exp2,25.29693327860128,2.2040456738069643,12.94376993179321,5,case_2.identity_or_safety_break
O3,15,transiently_reprogrammed,exp2,2.5941232497289732,1.3493539466100977,2.61224687099456,4,case_2.identity_or_safety_break
O3,17,failed_to_reprogram,exp1,-3.540041127974739,0.5897927730270852,8.1909467,5,case_0.no_age_gain
O3,17,transiently_reprogrammed,exp1,-8.662221548414038,1.1701851004792974,10.382010000000001,5,case_0.no_age_gain
